Provincia,Partido,Localidad,Link Indec,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1024 Mbps,4000 Mbps,10000 Mbps,Otras_Velocidades,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,Otras_Tecnologias,Totales_Tecnologias
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,96.0,19.0,5495.0,3143.0,949.0,3618.0,428.0,0.0,0.0,0.0,8,7691,0,6491,0,0,0,105,14295
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,27.0,6.0,581.0,789.0,256.0,1052.0,132.0,0.0,0.0,0.0,5,2072,0,737,0,0,0,29,2843
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,1193.0,613.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,62,814,1,409,0,0,179,319,1784
BUENOS AIRES,Vicente López,Carapachay,6861010,78.0,12.0,1867.0,2509.0,351.0,2869.0,296.0,0.0,0.0,1.0,24,4964,1,2959,0,0,0,35,7983
BUENOS AIRES,Vicente López,Florida,6861010,243.0,45.0,4667.0,6535.0,964.0,9095.0,758.0,0.0,0.0,1.0,58,12315,2,9823,0,0,2,108,22308
BUENOS AIRES,Vicente López,Florida Oeste,6861010,359.0,57.0,2629.0,2800.0,417.0,2872.0,365.0,0.0,0.0,0.0,35,5545,0,3622,1,0,245,51,9499
BUENOS AIRES,Vicente López,La Lucila,6861010,34.0,4.0,716.0,1688.0,191.0,2820.0,215.0,0.0,0.0,0.0,7,3522,1,2110,0,0,0,28,5668
BUENOS AIRES,Vicente López,Munro,6861010,303.0,32.0,4706.0,4287.0,988.0,4960.0,697.0,0.0,0.0,9.0,28,8576,8,7229,1,0,1,128,15971
BUENOS AIRES,Vicente López,Olivos,6861010,395.0,103.0,7158.0,10055.0,1390.0,14619.0,1211.0,0.0,0.0,11.0,100,20116,4,15104,1,0,0,210,35535
BUENOS AIRES,Vicente López,Vicente López,6861010,128.0,18.0,2303.0,4151.0,329.0,6306.0,585.0,0.0,0.0,38.0,17,8689,3,5111,0,0,1,66,13887
BUENOS AIRES,Vicente López,Villa Adelina,6861010,18.0,1.0,817.0,367.0,217.0,383.0,99.0,0.0,0.0,0.0,0,546,0,1346,0,0,0,10,1902
BUENOS AIRES,Vicente López,Villa Martelli,6861010,539.0,40.0,4268.0,2845.0,469.0,2849.0,414.0,0.0,0.0,4.0,50,5500,1,5701,0,0,375,46,11673
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,8791.0,317.0,1499.0,829.0,59.0,105.0,0.0,0.0,0.0,1.0,4797,0,0,6790,0,0,0,14,11601
BUENOS AIRES,Villarino,Argerich,6875010,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,31,0,31
BUENOS AIRES,Villarino,Country Los Medanos,6875025,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,267,0,267
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,82,0,83
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,129.0,0.0,497.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,630,0,0,0,0,630
BUENOS AIRES,Villarino,Médanos,6875060,701.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,461,551,1,0,0,0,103,0,1116
BUENOS AIRES,Villarino,Pedro Luro,6875070,754.0,791.0,1644.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,379,582,0,1666,0,0,550,1,3178
BUENOS AIRES,Villarino,Teniente Origone,6875080,170.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,16
BUENOS AIRES,Zárate,Escalada,6882030,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,75,0,75
BUENOS AIRES,Zárate,Lima,6882040,787.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,903,0,905
BUENOS AIRES,Zárate,Zárate,6882050,997.0,3870.0,1537.0,7953.0,3471.0,10193.0,1486.0,0.0,0.0,2235.0,671,27148,0,1242,5,0,1451,1219,31736
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,87102.0,37803.0,125198.0,394021.0,151870.0,639913.0,68804.0,0.0,0.0,0.0,70108,1177475,2050,203756,67,0,4493,46762,1504711
CATAMARCA,Ambato,El Bolsón,10007030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Ambato,El Rodeo,10007040,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0,0,0,0,1,0,152,0,153
CATAMARCA,Ambato,La Puerta,10007060,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,5
CATAMARCA,Ambato,Las Chacritas,10007070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Ambato,Los Talas,10007100,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,66,0,66
CATAMARCA,Ambato,Los Varela,10007110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Ancasti,Ancasti,10014010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
