Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2023,3,Neuquén,52846.0,11641.0,24787.0,31224.0,5.0,30213.0,298.0,0.0,0.0,13259.0,96.57,23.8,79.97,24527.0,73329.0,39243.0,24085.0,3089.0,164273.0
2023,3,Río Negro,45388.0,33001.0,22161.0,28872.0,757.0,18026.0,323.0,0.0,0.0,14957.0,70.93,21.04,68.4,22422.0,50429.0,56668.0,16864.0,17102.0,163485.0
2023,3,Salta,97670.0,4071.0,29121.0,37144.0,456.0,30218.0,754.0,0.0,0.0,6799.0,80.8,13.94,57.57,29113.0,98324.0,59914.0,12337.0,6545.0,206233.0
2023,3,San Juan,36017.0,13627.0,29779.0,1143.0,0.0,470.0,66.0,0.0,0.0,22628.0,24.45,12.85,50.45,12669.0,19376.0,42383.0,22317.0,6985.0,103730.0
2023,3,San Luis,35904.0,85705.0,5067.0,1244.0,0.0,494.0,12018.0,0.0,0.0,8484.0,104.97,28.2,98.55,4037.0,41624.0,24525.0,78431.0,299.0,148916.0
2023,3,Santa Cruz,28237.0,11058.0,8104.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,12.17,40.89,8376.0,23931.0,11270.0,3660.0,750.0,47987.0
2023,3,Santa Fe,262250.0,73453.0,172485.0,201851.0,12654.0,156479.0,3374.0,0.0,0.0,17806.0,97.39,24.87,79.09,108503.0,397854.0,336013.0,44545.0,13437.0,900352.0
2023,3,Santiago Del Estero,70982.0,28473.0,3791.0,8351.0,0.0,9324.0,57.0,0.0,0.0,950.0,41.46,12.08,48.67,9412.0,80919.0,21745.0,6916.0,2936.0,121928.0
2023,3,Tierra Del Fuego,24137.0,25297.0,3322.0,354.0,29.0,571.0,0.0,1.0,0.0,5020.0,17.17,31.41,105.95,9357.0,45203.0,3682.0,157.0,332.0,58731.0
2023,3,Tucumán,46679.0,26145.0,77144.0,70316.0,4.0,44678.0,920.0,0.0,0.0,671.0,98.85,15.17,61.26,46348.0,20545.0,195053.0,4088.0,523.0,266557.0
2023,2,Buenos Aires,502922.0,284608.0,1296268.0,959048.0,495481.0,1210949.0,170080.0,0.0,0.0,125147.0,138.35,27.1,79.67,265537.0,2766463.0,1645945.0,138405.0,69138.0,4885488.0
2023,2,Capital Federal,87102.0,37803.0,125198.0,394021.0,151870.0,639913.0,68779.0,0.0,0.0,0.0,208.01,47.27,115.48,68348.0,1218631.0,136295.0,4504.0,29900.0,1457678.0
2023,2,Catamarca,6543.0,5165.0,36072.0,17716.0,42.0,8471.0,854.0,0.0,0.0,70.0,86.13,17.15,67.42,7637.0,10700.0,53177.0,1384.0,92.0,72990.0
2023,2,Chaco,23852.0,8968.0,35430.0,55941.0,1925.0,24782.0,829.0,0.0,0.0,3816.0,105.45,11.46,42.87,19115.0,59944.0,51955.0,8267.0,2574.0,141855.0
2023,2,Chubut,76907.0,36631.0,39046.0,1257.0,1.0,161.0,31.0,0.0,0.0,16640.0,18.58,25.28,82.49,33702.0,73689.0,16111.0,30521.0,9938.0,163961.0
